query_id,query_path,product_id,relevant_catalog_ids,category,split,review_status,review_notes
test_q025,data/images/57991.jpg,57991,"38836,57989,57997,57998,58003",Apparel,test,approved,
test_q026,data/images/25914.jpg,25914,40495,Apparel,test,approved,
test_q027,data/images/39745.jpg,39745,36211,Apparel,test,approved,
val_q014,data/images/48158.jpg,48158,"48148,48151",Accessories,validation,approved,
test_q028,data/images/12130.jpg,12130,12121,Apparel,test,approved,
test_q029,data/images/48511.jpg,48511,"48088,48488,48502,48507,48513",Apparel,test,approved,
val_q015,data/images/33884.jpg,33884,"33882,33883,33891,33914,33915",Accessories,validation,approved,
test_q030,data/images/16538.jpg,16538,"12172,12180,12183,12187,12936,12948,12950,14660,14665,14667,14668,16544,16548",Apparel,test,approved,
test_q031,data/images/14808.jpg,14808,"14794,14797,14802,14811",Accessories,test,approved,
test_q032,data/images/29607.jpg,29607,"29632,29652,29665,31635,31648,32759",Apparel,test,approved,
val_q016,data/images/21075.jpg,21075,"10303,34119,50776",Footwear,validation,approved,
test_q033,data/images/54580.jpg,54580,"54570,54590",Apparel,test,approved,
test_q034,data/images/14096.jpg,14096,14105,Apparel,test,approved,
test_q035,data/images/10457.jpg,10457,10436,Apparel,test,approved,
val_q017,data/images/26134.jpg,26134,"10262,26136,26138,26154,26157,26162,26169",Apparel,validation,approved,
test_q036,data/images/27999.jpg,27999,28002,Apparel,test,approved,
val_q018,data/images/36234.jpg,36234,42416,Apparel,validation,approved,
val_q019,data/images/59763.jpg,59763,"34458,50160,50165,50177,57302",Footwear,validation,approved,
test_q037,data/images/47207.jpg,47207,"11903,47190",Footwear,test,approved,
test_q038,data/images/42239.jpg,42239,"33183,42249",Apparel,test,approved,
test_q039,data/images/12996.jpg,12996,12995,Footwear,test,approved,
val_q020,data/images/59065.jpg,59065,59068,Apparel,validation,approved,
test_q040,data/images/54382.jpg,54382,"47334,47394,54406,58268",Accessories,test,approved,
test_q041,data/images/39717.jpg,39717,"27259,44642",Apparel,test,approved,
val_q021,data/images/29115.jpg,29115,19499,Accessories,validation,approved,
val_q022,data/images/16341.jpg,16341,"16343,16362,16363,16367",Apparel,validation,approved,
test_q042,data/images/23837.jpg,23837,23848,Footwear,test,approved,
test_q043,data/images/33602.jpg,33602,"33609,33622",Accessories,test,approved,
test_q044,data/images/31723.jpg,31723,35335,Accessories,test,approved,
test_q045,data/images/33074.jpg,33074,33073,Apparel,test,approved,
val_q023,data/images/38581.jpg,38581,"22596,22616",Apparel,validation,approved,
val_q024,data/images/32206.jpg,32206,"30838,46018",Apparel,validation,approved,
val_q025,data/images/51815.jpg,51815,"39533,51867",Apparel,validation,approved,
test_q046,data/images/42663.jpg,42663,"42646,53424",Apparel,test,approved,
val_q026,data/images/22832.jpg,22832,"22841,22862,38774,38779,38785,43478,50377",Footwear,validation,approved,
test_q047,data/images/17644.jpg,17644,17649,Footwear,test,approved,
test_q048,data/images/50946.jpg,50946,"50952,50955",Apparel,test,approved,
test_q049,data/images/30610.jpg,30610,"22604,28514,30609,30634,32649,44625",Apparel,test,approved,
val_q027,data/images/58261.jpg,58261,47302,Accessories,validation,approved,
test_q050,data/images/25118.jpg,25118,25120,Accessories,test,approved,
val_q028,data/images/39786.jpg,39786,"39790,39798",Apparel,validation,approved,
val_q029,data/images/43686.jpg,43686,"34099,35452,35453,41745,41754,43685,43692,43693,43697",Apparel,validation,approved,
val_q030,data/images/52356.jpg,52356,52429,Apparel,validation,approved,
test_q051,data/images/35208.jpg,35208,"7092,7097,32860,35187,35201,35211,38136",Accessories,test,approved,
val_q031,data/images/59470.jpg,59470,59469,Accessories,validation,approved,
val_q032,data/images/18406.jpg,18406,18402,Footwear,validation,approved,
test_q052,data/images/7869.jpg,7869,"7858,7860,7863,7871,7876,7877,7881",Footwear,test,approved,
test_q053,data/images/29608.jpg,29608,"29649,29653,31611,31649",Apparel,test,approved,
val_q033,data/images/47384.jpg,47384,58254,Accessories,validation,approved,
val_q034,data/images/35001.jpg,35001,"35006,35009,35012",Accessories,validation,approved,
val_q035,data/images/40655.jpg,40655,"40602,40604,40611,40612,40617,40636,40637,40641,40645,40646,40653,40657,40663",Apparel,validation,approved,
val_q036,data/images/28773.jpg,28773,"24173,28770,28771,28779",Apparel,validation,approved,
test_q054,data/images/35465.jpg,35465,31332,Footwear,test,approved,
test_q055,data/images/5721.jpg,5721,3794,Apparel,test,approved,
test_q056,data/images/22594.jpg,22594,22614,Apparel,test,approved,
val_q037,data/images/34749.jpg,34749,38535,Footwear,validation,approved,
val_q038,data/images/26880.jpg,26880,"26866,26882,26896,26937",Apparel,validation,approved,
test_q057,data/images/53002.jpg,53002,"52892,52897,52903,52973",Apparel,test,approved,
test_q058,data/images/29467.jpg,29467,"29413,29416,29466",Accessories,test,approved,
test_q059,data/images/40258.jpg,40258,43036,Apparel,test,approved,
test_q060,data/images/36446.jpg,36446,36445,Footwear,test,approved,
test_q061,data/images/22404.jpg,22404,27153,Apparel,test,approved,
test_q062,data/images/15569.jpg,15569,14371,Footwear,test,approved,
val_q039,data/images/36719.jpg,36719,"31103,31153,34174,34175,39838,39839,39855,39856",Apparel,validation,approved,
test_q063,data/images/17512.jpg,17512,17500,Apparel,test,approved,
test_q064,data/images/44408.jpg,44408,51741,Footwear,test,approved,
val_q040,data/images/35681.jpg,35681,"35659,35678,35680,35682,35691",Footwear,validation,approved,
val_q041,data/images/28445.jpg,28445,"28446,53661,53667,53678,53679,53887,53895",Accessories,validation,approved,
test_q065,data/images/16888.jpg,16888,"16883,16887,16889,16891",Accessories,test,approved,
val_q042,data/images/57213.jpg,57213,"51615,51618,57208,57210,57212",Apparel,validation,approved,
val_q043,data/images/50212.jpg,50212,"50200,50205,50209,50230",Accessories,validation,approved,
test_q066,data/images/45949.jpg,45949,40373,Apparel,test,approved,
val_q044,data/images/17364.jpg,17364,"17360,17371,17376",Accessories,validation,approved,
test_q067,data/images/29837.jpg,29837,41611,Apparel,test,approved,
val_q045,data/images/18546.jpg,18546,"19036,46599",Footwear,validation,approved,
val_q046,data/images/29202.jpg,29202,"29201,29207,58634",Accessories,validation,approved,
test_q068,data/images/12238.jpg,12238,"12271,12297",Apparel,test,approved,
test_q069,data/images/11084.jpg,11084,"11053,11054,11056,11083,11090,13856,13857,13858,13859,13862,13863",Apparel,test,approved,
test_q070,data/images/35409.jpg,35409,"35399,35407,35411,35414,35416,35418,58555",Footwear,test,approved,
test_q071,data/images/15000.jpg,15000,14317,Apparel,test,approved,
test_q072,data/images/53043.jpg,53043,"52937,52962,52965",Apparel,test,approved,
val_q047,data/images/45784.jpg,45784,"44454,44456,44458,45795",Footwear,validation,approved,
test_q073,data/images/39035.jpg,39035,"39032,39033,39037,39041,39043",Accessories,test,approved,
test_q074,data/images/16824.jpg,16824,"9821,9836,16821,16825",Apparel,test,approved,
test_q075,data/images/53878.jpg,53878,"53875,53880",Footwear,test,approved,
val_q048,data/images/28710.jpg,28710,28723,Apparel,validation,approved,
test_q076,data/images/59919.jpg,59919,59920,Apparel,test,approved,
val_q049,data/images/24129.jpg,24129,24304,Apparel,validation,approved,
test_q077,data/images/16807.jpg,16807,"16456,16460,16466,16468,16470,16472,16482,16532,16812,16814,16817,21389",Apparel,test,approved,
test_q078,data/images/17787.jpg,17787,"12398,12404,17786,17792",Accessories,test,approved,
val_q050,data/images/51173.jpg,51173,"51152,51157,51177,51183,51341,51347",Accessories,validation,approved,
test_q079,data/images/59917.jpg,59917,"39466,39478",Apparel,test,approved,
val_q051,data/images/21500.jpg,21500,21499,Accessories,validation,approved,
test_q080,data/images/12485.jpg,12485,12489,Footwear,test,approved,
test_q081,data/images/32846.jpg,32846,32839,Footwear,test,approved,
val_q052,data/images/49530.jpg,49530,53075,Accessories,validation,approved,
test_q082,data/images/22068.jpg,22068,"22054,32270",Apparel,test,approved,
test_q083,data/images/25465.jpg,25465,15743,Footwear,test,approved,
val_q053,data/images/39739.jpg,39739,"39737,45577,45579,45580",Footwear,validation,approved,
test_q084,data/images/19059.jpg,19059,19055,Apparel,test,approved,
test_q085,data/images/26476.jpg,26476,"26489,26726",Apparel,test,approved,
val_q054,data/images/49704.jpg,49704,"49684,49686,49688,49694,49708,49709,49710,49713,49714,49716,49719,49723,49732,49744,50310,50318",Accessories,validation,approved,
test_q086,data/images/12040.jpg,12040,"8869,9069,9070",Apparel,test,approved,
test_q087,data/images/13355.jpg,13355,"13369,13384",Footwear,test,approved,
val_q055,data/images/16898.jpg,16898,"16885,16894",Accessories,validation,approved,
val_q056,data/images/43270.jpg,43270,"39169,39173,43252",Apparel,validation,approved,
test_q088,data/images/34593.jpg,34593,34587,Apparel,test,approved,
val_q057,data/images/12765.jpg,12765,13351,Apparel,validation,approved,
test_q089,data/images/7910.jpg,7910,"7873,7918",Apparel,test,approved,
test_q090,data/images/13389.jpg,13389,"13393,13404,13405,13934",Apparel,test,approved,
test_q091,data/images/41976.jpg,41976,"40161,41975",Apparel,test,approved,
test_q092,data/images/12519.jpg,12519,34542,Footwear,test,approved,
test_q093,data/images/39656.jpg,39656,"39639,39640,39645,39658,39659,39663,39678,39685",Footwear,test,approved,
test_q094,data/images/51165.jpg,51165,"51175,51179,51185,51338",Accessories,test,approved,
val_q058,data/images/48093.jpg,48093,48091,Apparel,validation,approved,
test_q095,data/images/51843.jpg,51843,"50825,50826,50827,50828,58201",Accessories,test,approved,
test_q096,data/images/21610.jpg,21610,"21624,21639,21652,21659",Apparel,test,approved,
test_q097,data/images/40232.jpg,40232,"40221,40223,40227,40230",Accessories,test,approved,
val_q059,data/images/56992.jpg,56992,56867,Footwear,validation,approved,
test_q098,data/images/30515.jpg,30515,30517,Apparel,test,approved,
test_q099,data/images/24921.jpg,24921,"24918,24987,37161,37164,37186,37189,37190",Apparel,test,approved,
test_q100,data/images/23563.jpg,23563,23557,Personal Care,test,approved,
val_q060,data/images/20774.jpg,20774,20782,Footwear,validation,approved,
test_q101,data/images/48074.jpg,48074,48448,Apparel,test,approved,
test_q102,data/images/26239.jpg,26239,26281,Apparel,test,approved,
test_q103,data/images/18536.jpg,18536,18602,Footwear,test,approved,
val_q061,data/images/11817.jpg,11817,"11816,11829",Footwear,validation,approved,
val_q062,data/images/40626.jpg,40626,"40642,40654",Apparel,validation,approved,
test_q104,data/images/49555.jpg,49555,"49553,53061,53064,53065,53067,53070",Accessories,test,approved,
test_q105,data/images/16002.jpg,16002,16003,Apparel,test,approved,
test_q106,data/images/22652.jpg,22652,22645,Accessories,test,approved,
val_q063,data/images/48419.jpg,48419,"48436,48440",Apparel,validation,approved,
test_q107,data/images/32864.jpg,32864,"38137,38138",Accessories,test,approved,
test_q108,data/images/48407.jpg,48407,43495,Apparel,test,approved,
test_q109,data/images/9719.jpg,9719,9706,Footwear,test,approved,
test_q110,data/images/38931.jpg,38931,"33147,38930",Apparel,test,approved,
test_q111,data/images/43321.jpg,43321,"19673,24953,24972,37183,43325",Apparel,test,approved,
test_q112,data/images/48070.jpg,48070,43492,Apparel,test,approved,
test_q113,data/images/48248.jpg,48248,"48258,48259",Apparel,test,approved,
test_q114,data/images/18220.jpg,18220,"35240,35244,35247",Accessories,test,approved,
test_q115,data/images/32005.jpg,32005,"31993,32002,32035",Accessories,test,approved,
val_q064,data/images/49305.jpg,49305,"49304,49306,49308",Accessories,validation,approved,
test_q116,data/images/48218.jpg,48218,"48220,48222,48224,48232,48235",Accessories,test,approved,
val_q065,data/images/53806.jpg,53806,53805,Accessories,validation,approved,
test_q117,data/images/31819.jpg,31819,"31816,31863",Accessories,test,approved,
test_q118,data/images/35645.jpg,35645,"35644,35649,35662,35664,51876",Footwear,test,approved,
test_q119,data/images/58194.jpg,58194,"25707,34556,43570,43572",Accessories,test,approved,
test_q120,data/images/45535.jpg,45535,45534,Apparel,test,approved,
test_q121,data/images/20015.jpg,20015,19671,Apparel,test,approved,
val_q066,data/images/14945.jpg,14945,"14952,14953",Apparel,validation,approved,
test_q122,data/images/17183.jpg,17183,"17192,19847",Apparel,test,approved,
val_q067,data/images/17588.jpg,17588,"17585,17589",Accessories,validation,approved,
val_q068,data/images/47206.jpg,47206,44939,Footwear,validation,approved,
test_q123,data/images/19876.jpg,19876,20945,Footwear,test,approved,
val_q069,data/images/32210.jpg,32210,35041,Apparel,validation,approved,
test_q124,data/images/32228.jpg,32228,32230,Apparel,test,approved,
test_q125,data/images/30555.jpg,30555,30567,Accessories,test,approved,
test_q126,data/images/7914.jpg,7914,7859,Apparel,test,approved,
test_q127,data/images/40929.jpg,40929,"38993,38996,40928,40933",Apparel,test,approved,
test_q128,data/images/50485.jpg,50485,"50451,50615,50625",Apparel,test,approved,
test_q129,data/images/47600.jpg,47600,47585,Footwear,test,approved,
test_q130,data/images/24160.jpg,24160,24156,Apparel,test,approved,
test_q131,data/images/30907.jpg,30907,"30911,30934",Apparel,test,approved,
test_q132,data/images/25871.jpg,25871,"25873,25876",Accessories,test,approved,
test_q133,data/images/26068.jpg,26068,29709,Apparel,test,approved,
test_q134,data/images/55825.jpg,55825,"55786,55789,55790",Apparel,test,approved,
test_q135,data/images/51592.jpg,51592,51582,Apparel,test,approved,
test_q136,data/images/59008.jpg,59008,"41827,41840",Footwear,test,approved,
test_q137,data/images/12926.jpg,12926,"12923,12927",Footwear,test,approved,
val_q070,data/images/48154.jpg,48154,48162,Accessories,validation,approved,
val_q071,data/images/54225.jpg,54225,54192,Apparel,validation,approved,
test_q138,data/images/18241.jpg,18241,"18224,18229,18233,18249",Apparel,test,approved,
test_q139,data/images/44791.jpg,44791,44790,Apparel,test,approved,
val_q072,data/images/21593.jpg,21593,"15338,15351",Apparel,validation,approved,
val_q073,data/images/20216.jpg,20216,20219,Apparel,validation,approved,
test_q140,data/images/13650.jpg,13650,13652,Footwear,test,approved,
val_q074,data/images/13460.jpg,13460,13407,Apparel,validation,approved,
test_q141,data/images/56855.jpg,56855,56819,Apparel,test,approved,
test_q142,data/images/45025.jpg,45025,45026,Accessories,test,approved,
val_q075,data/images/23653.jpg,23653,23644,Apparel,validation,approved,
test_q143,data/images/10643.jpg,10643,10644,Apparel,test,approved,
val_q076,data/images/25762.jpg,25762,25757,Apparel,validation,approved,
val_q077,data/images/32719.jpg,32719,47513,Apparel,validation,approved,
test_q144,data/images/32511.jpg,32511,31331,Footwear,test,approved,
val_q078,data/images/41276.jpg,41276,"41274,41278",Accessories,validation,approved,
test_q145,data/images/25160.jpg,25160,25165,Accessories,test,approved,
test_q146,data/images/48752.jpg,48752,"48747,48748,48749,48750,48751,48753",Accessories,test,approved,
val_q079,data/images/37235.jpg,37235,36541,Accessories,validation,approved,
test_q147,data/images/58235.jpg,58235,"47387,54390",Accessories,test,approved,
test_q148,data/images/13466.jpg,13466,"13433,13435",Apparel,test,approved,
test_q149,data/images/13291.jpg,13291,13292,Apparel,test,approved,
test_q150,data/images/43972.jpg,43972,43971,Personal Care,test,approved,
val_q080,data/images/21955.jpg,21955,"21962,22012,22015",Accessories,validation,approved,
test_q151,data/images/50962.jpg,50962,"50943,50945,50953",Apparel,test,approved,
test_q152,data/images/20818.jpg,20818,"20711,20716",Footwear,test,approved,
test_q153,data/images/30083.jpg,30083,30086,Accessories,test,approved,
test_q154,data/images/22559.jpg,22559,26744,Personal Care,test,approved,
val_q081,data/images/21541.jpg,21541,21753,Accessories,validation,approved,
val_q082,data/images/40300.jpg,40300,40305,Footwear,validation,approved,
val_q083,data/images/49845.jpg,49845,49883,Accessories,validation,approved,
test_q155,data/images/46529.jpg,46529,46451,Accessories,test,approved,
test_q156,data/images/51288.jpg,51288,51278,Accessories,test,approved,
test_q157,data/images/27839.jpg,27839,27834,Accessories,test,approved,
val_q084,data/images/47584.jpg,47584,47588,Footwear,validation,approved,
val_q085,data/images/52839.jpg,52839,52869,Accessories,validation,approved,
val_q086,data/images/59279.jpg,59279,59273,Accessories,validation,approved,
test_q158,data/images/13890.jpg,13890,11130,Apparel,test,approved,
test_q159,data/images/11161.jpg,11161,11162,Apparel,test,approved,
test_q160,data/images/40198.jpg,40198,40195,Apparel,test,approved,
test_q161,data/images/30756.jpg,30756,56699,Apparel,test,approved,
test_q162,data/images/52828.jpg,52828,"52837,52851",Accessories,test,approved,
test_q163,data/images/41993.jpg,41993,"40125,41992",Apparel,test,approved,
test_q164,data/images/52121.jpg,52121,50718,Apparel,test,approved,
test_q165,data/images/32970.jpg,32970,"32954,32962",Apparel,test,approved,
test_q166,data/images/13447.jpg,13447,13425,Apparel,test,approved,
val_q087,data/images/8514.jpg,8514,8515,Accessories,validation,approved,
test_q167,data/images/11927.jpg,11927,11928,Footwear,test,approved,
test_q168,data/images/22104.jpg,22104,14480,Footwear,test,approved,
val_q088,data/images/22336.jpg,22336,22331,Apparel,validation,approved,
test_q169,data/images/44123.jpg,44123,44122,Personal Care,test,approved,
test_q170,data/images/28097.jpg,28097,28096,Apparel,test,approved,
test_q171,data/images/57907.jpg,57907,57909,Accessories,test,approved,
test_q172,data/images/58517.jpg,58517,58497,Apparel,test,approved,
test_q173,data/images/40147.jpg,40147,41995,Apparel,test,approved,
test_q174,data/images/27189.jpg,27189,31585,Apparel,test,approved,
test_q175,data/images/42083.jpg,42083,42084,Accessories,test,approved,
test_q176,data/images/9494.jpg,9494,9495,Accessories,test,approved,
test_q177,data/images/22161.jpg,22161,"12857,13127,22158",Footwear,test,approved,
test_q178,data/images/5287.jpg,5287,5292,Footwear,test,approved,
test_q179,data/images/46261.jpg,46261,"46280,46286",Apparel,test,approved,
test_q180,data/images/5462.jpg,5462,6646,Footwear,test,approved,
val_q089,data/images/19340.jpg,19340,"19338,19339",Apparel,validation,approved,
test_q181,data/images/53752.jpg,53752,53755,Apparel,test,approved,
val_q090,data/images/36104.jpg,36104,36103,Accessories,validation,approved,
val_q091,data/images/49900.jpg,49900,53569,Accessories,validation,approved,
test_q182,data/images/37738.jpg,37738,37810,Apparel,test,approved,
test_q183,data/images/36763.jpg,36763,36764,Free Items,test,approved,
test_q184,data/images/33955.jpg,33955,"32455,32462",Apparel,test,approved,
test_q185,data/images/17798.jpg,17798,17799,Apparel,test,approved,
val_q092,data/images/38575.jpg,38575,28519,Apparel,validation,approved,
test_q186,data/images/35074.jpg,35074,"35060,35061,35073,35075",Accessories,test,approved,
test_q187,data/images/40691.jpg,40691,55612,Footwear,test,approved,
test_q188,data/images/19859.jpg,19859,19860,Apparel,test,approved,
val_q093,data/images/5730.jpg,5730,5749,Footwear,validation,approved,
val_q094,data/images/25652.jpg,25652,"25640,25641,25653",Accessories,validation,approved,
val_q095,data/images/34148.jpg,34148,34149,Apparel,validation,approved,
val_q096,data/images/28997.jpg,28997,29001,Apparel,validation,approved,
test_q189,data/images/11625.jpg,11625,"11553,12085",Apparel,test,approved,
test_q190,data/images/22041.jpg,22041,22036,Apparel,test,approved,
test_q191,data/images/24392.jpg,24392,24380,Apparel,test,approved,
test_q192,data/images/11236.jpg,11236,11240,Apparel,test,approved,
test_q193,data/images/11456.jpg,11456,11531,Apparel,test,approved,
test_q194,data/images/34138.jpg,34138,34140,Accessories,test,approved,
test_q195,data/images/24375.jpg,24375,24359,Apparel,test,approved,
val_q097,data/images/15475.jpg,15475,15472,Apparel,validation,approved,
val_q098,data/images/7177.jpg,7177,11089,Apparel,validation,approved,
test_q196,data/images/10246.jpg,10246,10247,Accessories,test,approved,
val_q099,data/images/11951.jpg,11951,44934,Footwear,validation,approved,
test_q197,data/images/28082.jpg,28082,28083,Apparel,test,approved,
val_q100,data/images/58338.jpg,58338,58339,Footwear,validation,approved,
test_q198,data/images/9879.jpg,9879,9878,Apparel,test,approved,
test_q199,data/images/32589.jpg,32589,32587,Apparel,test,approved,
test_q200,data/images/25392.jpg,25392,25368,Apparel,test,approved,
