image_id,product_id,filename,relative_path,category,master_category,sub_category,article_type,gender,base_colour,season,year,usage,product_display_name,width,height,file_size_bytes
51658,51658,51658.jpg,data/images/51658.jpg,Accessories,Accessories,Watches,Watches,Women,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,60,80,17413
3954,3954,3954.jpg,data/images/3954.jpg,Apparel,Apparel,Topwear,Tshirts,Women,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,60,80,19668
18839,18839,18839.jpg,data/images/18839.jpg,Accessories,Accessories,Belts,Belts,Men,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,60,80,19486
2886,2886,2886.jpg,data/images/2886.jpg,Footwear,Footwear,Shoes,Flats,Women,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,60,80,1721
23278,23278,23278.jpg,data/images/23278.jpg,Accessories,Accessories,Watches,Watches,Men,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,60,80,1628
28690,28690,28690.jpg,data/images/28690.jpg,Apparel,Apparel,Topwear,Kurtas,Women,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,60,80,3057
8580,8580,8580.jpg,data/images/8580.jpg,Apparel,Apparel,Topwear,Waistcoat,Men,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,60,80,26120
3168,3168,3168.jpg,data/images/3168.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,60,80,14667
18005,18005,18005.jpg,data/images/18005.jpg,Apparel,Apparel,Bottomwear,Shorts,Men,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,60,80,26852
17871,17871,17871.jpg,data/images/17871.jpg,Apparel,Apparel,Innerwear,Briefs,Men,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,60,80,19187
9452,9452,9452.jpg,data/images/9452.jpg,Apparel,Apparel,Topwear,Shirts,Men,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,60,80,1295
38402,38402,38402.jpg,data/images/38402.jpg,Accessories,Accessories,Belts,Belts,Women,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,60,80,19375
44984,44984,44984.jpg,data/images/44984.jpg,Accessories,Accessories,Watches,Watches,Women,White,Winter,2016,Casual,Maxima Women White Dial Watch,60,80,21715
10268,10268,10268.jpg,data/images/10268.jpg,Footwear,Footwear,Shoes,Formal Shoes,Men,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,60,80,1781
45856,45856,45856.jpg,data/images/45856.jpg,Apparel,Apparel,Topwear,Kurtas,Women,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,60,80,18902
32138,32138,32138.jpg,data/images/32138.jpg,Apparel,Apparel,Innerwear,Briefs,Men,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,60,80,20114
59435,59435,59435.jpg,data/images/59435.jpg,Footwear,Footwear,Shoes,Formal Shoes,Men,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,60,80,19444
5891,5891,5891.jpg,data/images/5891.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,60,80,27329
38630,38630,38630.jpg,data/images/38630.jpg,Apparel,Apparel,Topwear,Tshirts,Women,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,60,80,19431
4943,4943,4943.jpg,data/images/4943.jpg,Apparel,Apparel,Topwear,Shirts,Men,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,60,80,22667
11188,11188,11188.jpg,data/images/11188.jpg,Accessories,Accessories,Watches,Watches,Men,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,60,80,30766
10866,10866,10866.jpg,data/images/10866.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,60,80,2236
59607,59607,59607.jpg,data/images/59607.jpg,Apparel,Apparel,Saree,Sarees,Women,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,60,80,1303
15528,15528,15528.jpg,data/images/15528.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,60,80,2174
45258,45258,45258.jpg,data/images/45258.jpg,Accessories,Accessories,Watches,Watches,Men,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,60,80,24242
42841,42841,42841.jpg,data/images/42841.jpg,Accessories,Accessories,Bags,Handbags,Women,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,60,80,20107
22198,22198,22198.jpg,data/images/22198.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,60,80,20375
29570,29570,29570.jpg,data/images/29570.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,60,80,16062
43993,43993,43993.jpg,data/images/43993.jpg,Personal Care,Personal Care,Fragrance,Perfume and Body Mist,Women,Pink,Spring,2017,Casual,Police Women Passion Perfume,60,80,20579
6628,6628,6628.jpg,data/images/6628.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,60,80,22557
54924,54924,54924.jpg,data/images/54924.jpg,Apparel,Apparel,Bottomwear,Shorts,Men,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,60,80,3447
26538,26538,26538.jpg,data/images/26538.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Red,Fall,2012,Casual,ID Men Red Shoes,60,80,22493
35913,35913,35913.jpg,data/images/35913.jpg,Accessories,Accessories,Bags,Handbags,Women,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,60,80,27089
49495,49495,49495.jpg,data/images/49495.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,60,80,13557
9660,9660,9660.jpg,data/images/9660.jpg,Apparel,Apparel,Topwear,Shirts,Men,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,60,80,2083
2288,2288,2288.jpg,data/images/2288.jpg,Apparel,Apparel,Topwear,Tshirts,Women,Black,Fall,2010,Sports,Nike Women Black T-shirt,60,80,1780
23876,23876,23876.jpg,data/images/23876.jpg,Apparel,Apparel,Topwear,Sweatshirts,Men,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,60,80,1311
18237,18237,18237.jpg,data/images/18237.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,60,80,2165
54118,54118,54118.jpg,data/images/54118.jpg,Footwear,Footwear,Shoes,Heels,Women,Black,Winter,2012,Casual,Rocia Women Black Flats,60,80,18982
2872,2872,2872.jpg,data/images/2872.jpg,Footwear,Footwear,Shoes,Heels,Women,Brown,Winter,2015,Casual,Catwalk Women Leather Flats,60,80,1425
49653,49653,49653.jpg,data/images/49653.jpg,Apparel,Apparel,Topwear,Tops,Women,Green,Summer,2012,Casual,Mineral Women Green Top,60,80,3799
8574,8574,8574.jpg,data/images/8574.jpg,Footwear,Footwear,Sandal,Sandals,Women,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,60,80,2184
16957,16957,16957.jpg,data/images/16957.jpg,Accessories,Accessories,Eyewear,Sunglasses,Men,Black,Winter,2016,Casual,Image Men Sunglasses,60,80,11791
19123,19123,19123.jpg,data/images/19123.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Men,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,60,80,12924
13419,13419,13419.jpg,data/images/13419.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,60,80,2408
17885,17885,17885.jpg,data/images/17885.jpg,Apparel,Apparel,Innerwear,Innerwear Vests,Men,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,60,80,2131
43369,43369,43369.jpg,data/images/43369.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Men,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,60,80,35100
48781,48781,48781.jpg,data/images/48781.jpg,Accessories,Accessories,Jewellery,Pendant,Women,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,60,80,17890
44970,44970,44970.jpg,data/images/44970.jpg,Accessories,Accessories,Watches,Watches,Men,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch,60,80,19437
56489,56489,56489.jpg,data/images/56489.jpg,Personal Care,Personal Care,Nails,Nail Polish,Women,Bronze,Spring,2017,,Streetwear Ash Nail Polish # 31,60,80,18467
39524,39524,39524.jpg,data/images/39524.jpg,Accessories,Accessories,Bags,Laptop Bag,Unisex,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,60,80,22682
33822,33822,33822.jpg,data/images/33822.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,60,80,26007
58513,58513,58513.jpg,data/images/58513.jpg,Apparel,Apparel,Topwear,Tops,Women,Off White,Summer,2012,Casual,Tonga Women Maroon Top,60,80,18082
25947,25947,25947.jpg,data/images/25947.jpg,Accessories,Accessories,Scarves,Scarves,Women,Brown,Summer,2012,Casual,Femella Women Brown Scarf,60,80,28414
52029,52029,52029.jpg,data/images/52029.jpg,Apparel,Apparel,Topwear,Rain Jacket,Unisex,Coffee Brown,Summer,2012,,Just Natural Unisex Charcoal Rain Jacket,60,80,23869
5865,5865,5865.jpg,data/images/5865.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,60,80,25033
39716,39716,39716.jpg,data/images/39716.jpg,Apparel,Apparel,Dress,Dresses,Women,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,60,80,23527
25349,25349,25349.jpg,data/images/25349.jpg,Apparel,Apparel,Innerwear,Briefs,Men,Red,Summer,2016,Casual,Levis Men Red Brief,60,80,21695
11940,11940,11940.jpg,data/images/11940.jpg,Footwear,Footwear,Sandal,Sandals,Men,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,60,80,13124
55802,55802,55802.jpg,data/images/55802.jpg,Apparel,Apparel,Loungewear and Nightwear,Night suits,Women,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,60,80,3324
29584,29584,29584.jpg,data/images/29584.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,60,80,2027
43967,43967,43967.jpg,data/images/43967.jpg,Personal Care,Personal Care,Fragrance,Perfume and Body Mist,Women,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume,60,80,17793
28456,28456,28456.jpg,data/images/28456.jpg,Apparel,Apparel,Bottomwear,Skirts,Women,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,60,80,25472
34009,34009,34009.jpg,data/images/34009.jpg,Apparel,Apparel,Topwear,Tops,Girls,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,60,80,18844
19311,19311,19311.jpg,data/images/19311.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe,60,80,18630
42089,42089,42089.jpg,data/images/42089.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,60,80,20363
22950,22950,22950.jpg,data/images/22950.jpg,Accessories,Accessories,Watches,Watches,Unisex,Black,Winter,2016,Casual,Fastrack Unisex Black Dial Watch 9915PP13,60,80,2089
49461,49461,49461.jpg,data/images/49461.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes,60,80,12133
8746,8746,8746.jpg,data/images/8746.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Unisex,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,60,80,12435
9694,9694,9694.jpg,data/images/9694.jpg,Apparel,Apparel,Topwear,Tshirts,Men,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts,60,80,2260
23882,23882,23882.jpg,data/images/23882.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes,60,80,22035
34835,34835,34835.jpg,data/images/34835.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes,60,80,21622
15984,15984,15984.jpg,data/images/15984.jpg,Apparel,Apparel,Topwear,Shirts,Men,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,60,80,1948
41268,41268,41268.jpg,data/images/41268.jpg,Accessories,Accessories,Wallets,Wallets,Men,Black,Summer,2012,Casual,Arrow Men Black Wallet,60,80,11316
11518,11518,11518.jpg,data/images/11518.jpg,Footwear,Footwear,Shoes,Heels,Women,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels,60,80,13663
14856,14856,14856.jpg,data/images/14856.jpg,Accessories,Accessories,Wallets,Wallets,Women,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets,60,80,10946
33648,33648,33648.jpg,data/images/33648.jpg,Footwear,Footwear,Sandal,Sandals,Men,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals,60,80,22036
59297,59297,59297.jpg,data/images/59297.jpg,Apparel,Apparel,Topwear,Shirts,Men,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,60,80,19383
28032,28032,28032.jpg,data/images/28032.jpg,Apparel,Apparel,Innerwear,Briefs,Men,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,60,80,17235
27846,27846,27846.jpg,data/images/27846.jpg,Apparel,Apparel,Topwear,Blazers,Women,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,60,80,4393
26994,26994,26994.jpg,data/images/26994.jpg,Apparel,Apparel,Bottomwear,Jeans,Women,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,60,80,13958
49839,49839,49839.jpg,data/images/49839.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Women,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,60,80,13063
31923,31923,31923.jpg,data/images/31923.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag,60,80,26781
2618,2618,2618.jpg,data/images/2618.jpg,Footwear,Footwear,Shoes,Flats,Women,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal,60,80,950
54588,54588,54588.jpg,data/images/54588.jpg,Apparel,Apparel,Topwear,Kurtas,Women,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,60,80,16838
49005,49005,49005.jpg,data/images/49005.jpg,Accessories,Accessories,Jewellery,Ring,Women,Silver,Summer,2012,Casual,Lucera Women Silver Ring,60,80,2171
8322,8322,8322.jpg,data/images/8322.jpg,Apparel,Apparel,Topwear,Tshirts,Boys,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,60,80,23582
13841,13841,13841.jpg,data/images/13841.jpg,Accessories,Accessories,Watches,Watches,Unisex,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches,60,80,2044
28200,28200,28200.jpg,data/images/28200.jpg,Accessories,Accessories,Eyewear,Sunglasses,Men,Copper,Winter,2016,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,60,80,18382
12993,12993,12993.jpg,data/images/12993.jpg,Footwear,Footwear,Shoes,Sports Shoes,Unisex,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes,60,80,17549
7158,7158,7158.jpg,data/images/7158.jpg,Apparel,Apparel,Topwear,Shirts,Men,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,60,80,1576
18495,18495,18495.jpg,data/images/18495.jpg,Footwear,Footwear,Sandal,Sandals,Men,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper,60,80,13657
8110,8110,8110.jpg,data/images/8110.jpg,Accessories,Accessories,Watches,Watches,Men,Black,Winter,2016,Casual,Fastrack Men Economy 2 Analg Black Watch,60,80,2033
19547,19547,19547.jpg,data/images/19547.jpg,Apparel,Apparel,Topwear,Sweatshirts,Men,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,60,80,1971
7964,7964,7964.jpg,data/images/7964.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt,60,80,1906
36934,36934,36934.jpg,data/images/36934.jpg,Personal Care,Personal Care,Fragrance,Perfume and Body Mist,Women,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume,60,80,18651
39140,39140,39140.jpg,data/images/39140.jpg,Apparel,Apparel,Apparel Set,Kurta Sets,Women,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit,60,80,2184
20851,20851,20851.jpg,data/images/20851.jpg,Accessories,Accessories,Bags,Clutches,Women,Red,Winter,2015,Casual,Spice Art Women Ribbon Embroidery Red Clutch,60,80,20751
41866,41866,41866.jpg,data/images/41866.jpg,Footwear,Footwear,Sandal,Sandals,Men,Beige,Fall,2015,Casual,Estd. 1977 Men Beige & Green Sandals,60,80,18882
58177,58177,58177.jpg,data/images/58177.jpg,Accessories,Accessories,Bags,Handbags,Women,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag,60,80,32175
44528,44528,44528.jpg,data/images/44528.jpg,Footwear,Footwear,Sandal,Sandals,Men,Black,Summer,2012,Casual,Coolers Men Black Sandals,60,80,19781
16392,16392,16392.jpg,data/images/16392.jpg,Apparel,Apparel,Topwear,Shirts,Men,Red,Fall,2011,Casual,Levis Men Check Red Shirts,60,80,1520
51455,51455,51455.jpg,data/images/51455.jpg,Apparel,Apparel,Topwear,Shrug,Women,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,60,80,24584
50587,50587,50587.jpg,data/images/50587.jpg,Apparel,Apparel,Innerwear,Briefs,Men,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs,60,80,4342
17240,17240,17240.jpg,data/images/17240.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Fall,2011,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,60,80,2170
47530,47530,47530.jpg,data/images/47530.jpg,Footwear,Footwear,Shoes,Flats,Women,Copper,Winter,2012,Casual,Portia Women Copper-Toned & Brown Sandals,60,80,13800
6617,6617,6617.jpg,data/images/6617.jpg,Apparel,Apparel,Topwear,Shirts,Men,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt,60,80,21747
12732,12732,12732.jpg,data/images/12732.jpg,Accessories,Accessories,Bags,Backpacks,Unisex,Black,Fall,2011,Sports,Nike Unisex Swoosh Black Backpack,60,80,1523
3365,3365,3365.jpg,data/images/3365.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Black,Summer,2011,Casual,Myntra Men's Brain Black T-shirt,60,80,26810
42042,42042,42042.jpg,data/images/42042.jpg,Footwear,Footwear,Shoes,Sports Shoes,Men,White,Summer,2012,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,60,80,22071
23849,23849,23849.jpg,data/images/23849.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Black,Fall,2011,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,60,80,20234
43190,43190,43190.jpg,data/images/43190.jpg,Accessories,Accessories,Watches,Watches,Women,White,Winter,2016,Casual,Fastrack Women White Dial Watch,60,80,53759
48578,48578,48578.jpg,data/images/48578.jpg,Accessories,Accessories,Jewellery,Bracelet,Men,Steel,Summer,2012,Casual,Revv Men Steel Bracelet,60,80,2904
30462,30462,30462.jpg,data/images/30462.jpg,Apparel,Apparel,Innerwear,Bra,Women,Black,Summer,2014,Casual,Lovable Women All Day Long Black Bra,60,80,20755
18208,18208,18208.jpg,data/images/18208.jpg,Accessories,Accessories,Headwear,Caps,Men,White,Fall,2011,Casual,Manchester United Men Solid White Cap,60,80,12404
54127,54127,54127.jpg,data/images/54127.jpg,Footwear,Footwear,Shoes,Heels,Women,Black,Winter,2012,Casual,Rocia Women Black Heels,60,80,21221
10065,10065,10065.jpg,data/images/10065.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,60,80,2085
24250,24250,24250.jpg,data/images/24250.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,White,Fall,2012,Casual,Numero Uno Men White Casual Shoes,60,80,22038
