id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_filename,image_path
43634,Women,Apparel,Dress,Dresses,Beige,Summer,2012.0,Casual,Vero Moda Women Beige Dress,43634.jpg,images/43634.jpg
53128,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Heels,53128.jpg,images/53128.jpg
52299,Men,Apparel,Innerwear,Boxers,Red,Summer,2016.0,Casual,Crusoe Men Red Printed Get Away Boxers R09,52299.jpg,images/52299.jpg
38963,Unisex,Accessories,Bags,Rucksacks,Yellow,Winter,2018.0,Casual,Wildcraft Unisex Yellow & Grey Colourblocked Rucksack,38963.jpg,images/38963.jpg
48563,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,48563.jpg,images/48563.jpg
49026,Women,Accessories,Jewellery,Ring,Silver,Summer,2013.0,Casual,Lucera Women Silver Ring,49026.jpg,images/49026.jpg
55956,Women,Personal Care,Eyes,Mascara,Black,Summer,2019.0,Casual,Colorbar Women Lash Illusion Mascara Duo DM001,55956.jpg,images/55956.jpg
57217,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012.0,Casual,Kraus Jeans Women Blue Capris,57217.jpg,images/57217.jpg
25078,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set,25078.jpg,images/25078.jpg
48581,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,48581.jpg,images/48581.jpg
3473,Men,Accessories,Accessories,Water Bottle,Black,Fall,2010.0,Casual,ADIDAS Black Sipper,3473.jpg,images/3473.jpg
57811,Women,Apparel,Dress,Jumpsuit,Purple,Fall,2012.0,Casual,United Colors of Benetton Women Purple  Jumpsuit,57811.jpg,images/57811.jpg
34942,Women,Apparel,Topwear,Dupatta,Cream,Summer,2012.0,Ethnic,Fabindia Printed Cream Cotton Silk Dupatta,34942.jpg,images/34942.jpg
52316,Women,Accessories,Jewellery,Bangle,Purple,Winter,2016.0,Casual,ToniQ Women Set of 3 Bangles,52316.jpg,images/52316.jpg
25786,Men,Apparel,Topwear,Suspenders,Black,Summer,2012.0,Formal,Arrow Men Black Suspenders,25786.jpg,images/25786.jpg
13670,Unisex,Sporting Goods,Sports Equipment,Footballs,Gold,Fall,2011.0,Casual,Puma Unisex Liga XL Football,13670.jpg,images/13670.jpg
45642,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Park Avenue Men Red Swank Brief,45642.jpg,images/45642.jpg
1621,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010.0,Sports,Reebok Men Micro Shorts Black and White,1621.jpg,images/1621.jpg
37583,Girls,Apparel,Topwear,Rompers,Pink,Summer,2012.0,Casual,Madagascar3 Infant Girls Pink Snapsuit Romper,37583.jpg,images/37583.jpg
2118,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2010.0,Sports,ADIDAS Men's Foamy Striped Track Pants,2118.jpg,images/2118.jpg
48343,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Pitaraa Golden Fish Scale Necklace,48343.jpg,images/48343.jpg
55321,Women,Personal Care,Skin,Face Moisturisers,White,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Sun Care Daily Moisturising Lotion,55321.jpg,images/55321.jpg
44007,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,2017.0,Casual,Police Men Gold Wings Deo,44007.jpg,images/44007.jpg
4494,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2011.0,Sports,Lotto Men's Fuerzapura Red Black Shoe,4494.jpg,images/4494.jpg
8227,Unisex,Accessories,Bags,Messenger Bag,Navy Blue,Winter,2016.0,Casual,Fastrack Unisex Navy Blue Messenger Bag,8227.jpg,images/8227.jpg
41814,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,Enamor Women Pink Bra,41814.jpg,images/41814.jpg
34598,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Tonga Women Printed Black Dress,34598.jpg,images/34598.jpg
46668,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Rasasi Men Deo,46668.jpg,images/46668.jpg
22657,Unisex,Accessories,Bags,Duffel Bag,Black,Winter,2015.0,Casual,Wildcraft Unisex Black & Blue Duffel Bag,22657.jpg,images/22657.jpg
34197,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Proline Purple & Green Striped Polo T-shirt,34197.jpg,images/34197.jpg
51951,Women,Accessories,Bags,Clutches,Copper,Summer,2012.0,Casual,Yelloe Women Oversized Clutch,51951.jpg,images/51951.jpg
56529,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Streetwear Satin Smooth Mocha Brown Lipcolor 22,56529.jpg,images/56529.jpg
49021,Women,Accessories,Jewellery,Ring,Silver,Summer,2013.0,Casual,Lucera Women Silver Ring,49021.jpg,images/49021.jpg
50906,Women,Apparel,Saree,Sarees,Pink,Fall,2012.0,Ethnic,Prafful Grey & Pink Coloured Printed Sari,50906.jpg,images/50906.jpg
47065,Women,Apparel,Bottomwear,Patiala,Maroon,Fall,2012.0,Ethnic,Shree Women Maroon & Mustard Patiala,47065.jpg,images/47065.jpg
46208,Women,Accessories,Jewellery,Bangle,Black,Winter,2015.0,Casual,Adrika Women Black Bangle,46208.jpg,images/46208.jpg
12537,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Casual,Puma Men Solid Grey Track Pants,12537.jpg,images/12537.jpg
23541,Men,Personal Care,Fragrance,Fragrance Gift Set,Black,Spring,2017.0,Casual,Police Dark Men Fragrance Gift Set,23541.jpg,images/23541.jpg
18770,Men,Accessories,Ties,Ties,Black,Summer,2011.0,Formal,Peter England Men Elite Black Tie,18770.jpg,images/18770.jpg
15877,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,Warner Bros Kids Unisex TJ Big Face Blue Slippers,15877.jpg,images/15877.jpg
57747,Women,Personal Care,Makeup,Foundation and Primer,Beige,Spring,2017.0,,Lotus Herbals Naturalblend Swift Make-up Stick Honey Beige Foundation 710,57747.jpg,images/57747.jpg
7101,Unisex,Accessories,Bags,Duffel Bag,Blue,Winter,2015.0,Casual,Wildcraft Unisex Blue & Black Duffel Bag,7101.jpg,images/7101.jpg
13624,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Red,Summer,2016.0,Casual,Hanes Men Knitted Red Shorts,13624.jpg,images/13624.jpg
28222,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,2017.0,Casual,YARDLEY Men Gold Deo,28222.jpg,images/28222.jpg
28786,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,Denizen Men Striped Grey Shirt,28786.jpg,images/28786.jpg
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,2015.0,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,52472.jpg,images/52472.jpg
57609,Women,Personal Care,Skin Care,Sunscreen,Orange,Spring,2017.0,,Lotus Herbals Safe Sun Collagenshield Sunblock SPF 90,57609.jpg,images/57609.jpg
37524,Boys,Apparel,Topwear,Rompers,Blue,Summer,2012.0,Casual,Madagascar3 Infant Boys Light Blue Snapsuit Romper,37524.jpg,images/37524.jpg
46203,Women,Accessories,Jewellery,Bangle,Black,Winter,2015.0,Casual,Adrika Women Black Bangle,46203.jpg,images/46203.jpg
27321,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,ADIDAS Women Fruity Rhythm Perfume,27321.jpg,images/27321.jpg
10655,Women,Apparel,Bottomwear,Skirts,Blue,Fall,2011.0,Casual,Doodle Girl Denim skirt with belt Blue Skirts,10655.jpg,images/10655.jpg
40122,Unisex,Accessories,Headwear,Headband,Black,Summer,2012.0,Casual,ADIDAS Unisex Black Clima Chill Headband,40122.jpg,images/40122.jpg
20556,Women,Accessories,Bags,Mobile Pouch,Olive,Winter,2015.0,Casual,Baggit Women Parinacrush Olive Mobile Pouch,20556.jpg,images/20556.jpg
10056,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,2011.0,Sports,ADIDAS Men Cfc Pes Black Tracksuits,10056.jpg,images/10056.jpg
34820,Men,Footwear,Sandal,Sports Sandals,Grey,Fall,2013.0,Casual,ADIDAS Men Hispana Grey Sandals,34820.jpg,images/34820.jpg
58892,Men,Accessories,Ties,Ties,Purple,Summer,2012.0,Casual,Hakashi Men Purple Tie,58892.jpg,images/58892.jpg
34464,Unisex,Accessories,Accessories,Travel Accessory,Red,Summer,2012.0,Casual,ADIDAS Unisex Red Organizer Bag,34464.jpg,images/34464.jpg
55246,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Lakme Pearl Silk Naturelle Daily Foundation,55246.jpg,images/55246.jpg
17630,Unisex,Accessories,Accessories,Messenger Bag,Black,Fall,2011.0,Casual,Puma Unisex Jamaica Lifestyle Black Messenger Bag,17630.jpg,images/17630.jpg
52168,Women,Accessories,Jewellery,Ring,Black,Fall,2012.0,Casual,Lencia Sterling Silver Ring,52168.jpg,images/52168.jpg
17882,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men Comfort Style White Innerwear Vest,17882.jpg,images/17882.jpg
16219,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,Puma Men ILP Black Sweater,16219.jpg,images/16219.jpg
56140,Women,Personal Care,Makeup,Eyeshadow,Brown,Spring,2017.0,Casual,Colorbar Spicy Brown Eye Shadow 003,56140.jpg,images/56140.jpg
58158,Women,Apparel,Topwear,Shrug,Maroon,Fall,2012.0,Casual,Latin Quarters Women Maroon Shrug,58158.jpg,images/58158.jpg
25597,Women,Apparel,Apparel Set,Kurta Sets,Red,Fall,2011.0,Ethnic,Vishudh Women Red & Navy Churidar Kurta with Dupatta,25597.jpg,images/25597.jpg
30900,Women,Apparel,Bottomwear,Salwar,Orange,Summer,2012.0,Ethnic,Fabindia Women Orange Salwar,30900.jpg,images/30900.jpg
55016,Women,Personal Care,Lips,Lip Gloss,Purple,Spring,2017.0,Casual,Lakme 3 in 1 Wildberry Aqua Shine Lip Color,55016.jpg,images/55016.jpg
50675,Men,Apparel,Innerwear,Trunk,Grey,Summer,2016.0,Casual,Chromozome Men Pack of Two Grey Trunks,50675.jpg,images/50675.jpg
6130,Unisex,Footwear,Sandal,Sandals,Green,Summer,2011.0,Casual,Puma Unisex Scuba Black Green Floater,6130.jpg,images/6130.jpg
56615,Women,Personal Care,Makeup,Highlighter and Blush,Rose,Spring,2017.0,Casual,Streetwear Stay On Mineral Rose Swirl Blusher,56615.jpg,images/56615.jpg
47454,Women,Footwear,Shoes,Flats,Black,Fall,2012.0,Casual,Tiptopp Women Black Sandals,47454.jpg,images/47454.jpg
40155,Boys,Apparel,Bottomwear,Shorts,White,Summer,2012.0,Casual,Gini and Jony Boys Beach White Shorts,40155.jpg,images/40155.jpg
48758,Women,Accessories,Jewellery,Jewellery Set,White,Summer,2012.0,Casual,Miki Pearl Women Ivory Jewellery Set,48758.jpg,images/48758.jpg
14158,Men,Accessories,Cufflinks,Cufflinks,Silver,Fall,2011.0,Formal,Belmonte Men Formal Sliver Cufflinks,14158.jpg,images/14158.jpg
55234,Women,Personal Care,Makeup,Foundation and Primer,Skin,Summer,2019.0,Casual,Lakme 9to5 Flawless Makeup Marble Foundation,55234.jpg,images/55234.jpg
34799,Men,Accessories,Belts,Belts,Beige,Summer,2012.0,Casual,Flying Machine Men Woven Beige Belt,34799.jpg,images/34799.jpg
34550,Women,Accessories,Bags,Handbags,Multi,Summer,2012.0,Casual,Puma Women Dizzy Shopper Multi Colour Handbag,34550.jpg,images/34550.jpg
50294,Men,Accessories,Ties,Ties,Black,Summer,2012.0,Formal,Parx Men Black Tie,50294.jpg,images/50294.jpg
55585,Women,Personal Care,Makeup,Highlighter and Blush,Peach,Spring,2017.0,Casual,Revlon Photo Ready Peach Sculpting Blush Palette 02,55585.jpg,images/55585.jpg
18573,Men,Apparel,Topwear,Sweaters,Blue,Fall,2011.0,Casual,Puma Men Striped Full Zip Blue Sweater,18573.jpg,images/18573.jpg
57729,Women,Personal Care,Lips,Lip Care,Red,Spring,2017.0,,Lotus Herbals Cherry Lip Balm,57729.jpg,images/57729.jpg
27493,Women,Apparel,Innerwear,Briefs,Blue,Winter,2015.0,Casual,Jockey Women Blue Briefs,27493.jpg,images/27493.jpg
2357,Men,Accessories,Accessories,Water Bottle,White,Fall,2010.0,Sports,ADIDAS White Water Sipper,2357.jpg,images/2357.jpg
46895,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Locomotive Men Blue Jeans,46895.jpg,images/46895.jpg
53329,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016.0,Casual,Smugglerz Men Multicolour Check Boxers,53329.jpg,images/53329.jpg
40110,Men,Apparel,Bottomwear,Tracksuits,Blue,Summer,2012.0,Casual,ADIDAS Men Blue Tracksuit,40110.jpg,images/40110.jpg
48862,Women,Accessories,Jewellery,Pendant,Silver,Fall,2012.0,Casual,Lucera Women Silver Pendant,48862.jpg,images/48862.jpg
12447,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Brown,Fall,2011.0,,Timberland Unisex Brown Shoe Accessories,12447.jpg,images/12447.jpg
57812,Women,Apparel,Dress,Jumpsuit,Brown,Summer,2012.0,Casual,United Colors of Benetton Women Brown Jumpsuit,57812.jpg,images/57812.jpg
26181,Women,Footwear,Shoes,Flats,Silver,Spring,2013.0,Casual,Rocia Women Silver Casual Sandals,26181.jpg,images/26181.jpg
1626,Unisex,Sporting Goods,Sports Equipment,Footballs,Blue,Summer,2011.0,Sports,Kipsta F300 Football Size 5 Football,1626.jpg,images/1626.jpg
5575,Girls,Apparel,Bottomwear,Skirts,Green,Summer,2011.0,Casual,Ant Kids Girl's Green Kidswear,5575.jpg,images/5575.jpg
8583,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,Scullers Men Dark Grey Waistcoat,8583.jpg,images/8583.jpg
25854,Women,Apparel,Topwear,Kurtis,Orange,Summer,2012.0,Ethnic,Diva Women Printed Orange Kurti,25854.jpg,images/25854.jpg
34070,Women,Footwear,Shoes,Flats,Black,Summer,2015.0,Casual,Clarks Women Black Leather Ballerinas,34070.jpg,images/34070.jpg
54090,Women,Apparel,Topwear,Kurtis,White,Summer,2012.0,Ethnic,Mumbai Slang Women White Kurti,54090.jpg,images/54090.jpg
53436,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Sports Shoes,53436.jpg,images/53436.jpg
59733,Women,Apparel,Innerwear,Shapewear,Pink,Summer,2014.0,Casual,Avirate Pink Wired Corset Shapewear,59733.jpg,images/59733.jpg
48851,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012.0,Casual,Lucera Women Silver Pendant,48851.jpg,images/48851.jpg
55239,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Lakme Invisible Finish Foundation 02 Foundation,55239.jpg,images/55239.jpg
22232,Men,Accessories,Shoe Accessories,Shoe Accessories,Brown,Fall,2012.0,,Timberland Men Brown Shoe Laces,22232.jpg,images/22232.jpg
4611,Unisex,Accessories,Bags,Waist Pouch,Olive,Winter,2015.0,Casual,Wildcraft Unisex Olive Green Waist Pouch,4611.jpg,images/4611.jpg
52031,Unisex,Apparel,Topwear,Rain Jacket,Black,Summer,2012.0,,Just Natural Unisex Black Rain Jacket,52031.jpg,images/52031.jpg
48836,Women,Accessories,Jewellery,Pendant,Silver,Summer,2015.0,Casual,Lucera Women Silver Pendant,48836.jpg,images/48836.jpg
57328,Women,Apparel,Innerwear,Bra,Lavender,Winter,2015.0,Casual,Amante Lavender T-shirt Bra BCMV01,57328.jpg,images/57328.jpg
1915,Unisex,Accessories,Accessories,Water Bottle,Yellow,Summer,2011.0,Casual,Quechua Yellow Sipper,1915.jpg,images/1915.jpg
56135,Women,Personal Care,Makeup,Eyeshadow,Black,Spring,2017.0,Casual,Colorbar Black Tie Eye Shadow 010,56135.jpg,images/56135.jpg
23554,Men,Personal Care,Fragrance,Perfume and Body Mist,Silver,Spring,2017.0,Casual,Police Men Wings Silver Perfume,23554.jpg,images/23554.jpg
25855,Women,Apparel,Topwear,Kurtis,Red,Summer,2012.0,Ethnic,Diva Women Printed Red Kurti,25855.jpg,images/25855.jpg
52469,Women,Apparel,Innerwear,Camisoles,Blue,Winter,2015.0,Casual,Red Rose Sky Blue Camisole,52469.jpg,images/52469.jpg
57616,Women,Personal Care,Skin Care,Sunscreen,White,Spring,2017.0,,Lotus Herbals Intensive Sunblock Spray,57616.jpg,images/57616.jpg
45301,Men,Free Items,Free Gifts,Free Gifts,Black,Summer,2012.0,Formal,Van Heusen Men Black & Brown Reversible Belt,45301.jpg,images/45301.jpg
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Palm Tree Girls Pink Top,31120.jpg,images/31120.jpg
39160,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Aneri Women Purple Kurta,39160.jpg,images/39160.jpg
55540,Women,Personal Care,Makeup,Eyeshadow,Copper,Spring,2017.0,Casual,Revlon Illuminance Copper Coast Creme Shadow 01,55540.jpg,images/55540.jpg
39039,Men,Accessories,Cufflinks,Cufflinks,Red,Summer,2012.0,Formal,Belmonte Men Red Bright Assorted Cufflinks,39039.jpg,images/39039.jpg
58544,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Miami Blues Women Sunglasses,58544.jpg,images/58544.jpg
56096,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,2017.0,Casual,Colorbar Star Choco Chip Lip Gloss 11,56096.jpg,images/56096.jpg
33273,Girls,Apparel,Bottomwear,Leggings,Green,Summer,2012.0,Casual,Gini and Jony Girls Green Leggings,33273.jpg,images/33273.jpg
57733,Women,Personal Care,Lips,Lip Care,Brown,Spring,2017.0,,Lotus Herbals Cocoa Lip Balm,57733.jpg,images/57733.jpg
37204,Women,Apparel,Dress,Jumpsuit,Teal,Summer,2012.0,Casual,United Colors of Benetton Women Printed Teal Jumpsuit,37204.jpg,images/37204.jpg
4156,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Vapour Club White Red Shoe,4156.jpg,images/4156.jpg
30829,Women,Apparel,Bottomwear,Churidar,Blue,Summer,2012.0,Ethnic,Fabindia Women Blue Mangalgiri Churidar,30829.jpg,images/30829.jpg
40690,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Numero Uno Men Black Formal Shoes,40690.jpg,images/40690.jpg
1596,Men,Accessories,Water Bottle,Water Bottle,Pink,Fall,2010.0,Sports,Quechua Easy-to-Carry Pink Sipper,1596.jpg,images/1596.jpg
28811,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Men Blue Jeans,28811.jpg,images/28811.jpg
58213,Women,Apparel,Bottomwear,Patiala,Red,Fall,2012.0,Ethnic,Shree Women Red Printed Patiala,58213.jpg,images/58213.jpg
19353,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Numero Uno Men Brown Shoes,19353.jpg,images/19353.jpg
56144,Women,Personal Care,Makeup,Eyeshadow,Nude,Spring,2017.0,Casual,Colorbar Seductively Nude Enchanting Trio Eye Shadow,56144.jpg,images/56144.jpg
11123,Men,Accessories,Bags,Laptop Bag,Black,Fall,2011.0,Casual,United Colors of Benetton Men Travel Black Bags,11123.jpg,images/11123.jpg
22409,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2011.0,Casual,Mark Taylor Men Solid Navy Blue Trouser,22409.jpg,images/22409.jpg
30735,Men,Apparel,Bottomwear,Churidar,Beige,Summer,2012.0,Ethnic,Fabindia Men Beige Churidar,30735.jpg,images/30735.jpg
36747,Boys,Apparel,Apparel Set,Clothing Set,White,Summer,2012.0,Casual,Mr.Men Boys I Am Sleeping White Clothing Set,36747.jpg,images/36747.jpg
53743,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Casual,ADIDAS Women Black Track Pant,53743.jpg,images/53743.jpg
55090,Women,Personal Care,Skin,Face Moisturisers,Silver,Spring,2017.0,Casual,Pond's Flawless White Visible Lightening Daily Cream,55090.jpg,images/55090.jpg
29043,Men,Apparel,Bottomwear,Tracksuits,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Navy Blue Tracksuit,29043.jpg,images/29043.jpg
55429,Women,Personal Care,Lips,Lipstick,Purple,Spring,2017.0,Casual,Revlon MoistureStay Dusk Lipcolor 11,55429.jpg,images/55429.jpg
55827,Women,Apparel,Loungewear and Nightwear,Nightdress,White,Summer,2017.0,Casual,SDL by Sweet Dreams Women White Printed Nightdress,55827.jpg,images/55827.jpg
58548,Women,Accessories,Cufflinks,Ties and Cufflinks,Brown,Spring,2013.0,Casual,Miami Blues Women Sunglasses,58548.jpg,images/58548.jpg
59744,Women,Apparel,Loungewear and Nightwear,Nightdress,Black,Summer,2012.0,Casual,Avirate Black Babydoll Nightdress,59744.jpg,images/59744.jpg
36263,Men,Apparel,Loungewear and Nightwear,Night suits,Navy Blue,Summer,2016.0,Casual,SDL by Sweet Dreams Men Navy Blue Pyjama Set,36263.jpg,images/36263.jpg
43070,Unisex,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Nike Unisex Red Portugal Football Cap,43070.jpg,images/43070.jpg
30826,Women,Apparel,Bottomwear,Churidar,Navy Blue,Summer,2012.0,Ethnic,Fabindia Women Navy Blue Mangalgiri Churidar,30826.jpg,images/30826.jpg
54499,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Lino Perros Women Brown Handbag,54499.jpg,images/54499.jpg
31729,Men,Apparel,Topwear,Blazers,Blue,Summer,2012.0,Formal,Reid & Taylor Men Blue Blazer,31729.jpg,images/31729.jpg
55135,Women,Personal Care,Nails,Nail Polish,Yellow,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 05,55135.jpg,images/55135.jpg
54721,Women,Apparel,Apparel Set,Kurta Sets,White,Fall,2012.0,Ethnic,Shree Women White and Blue Printed Patiala Kurta Set,54721.jpg,images/54721.jpg
36042,Unisex,Accessories,Bags,Duffel Bag,Blue,Summer,2012.0,Casual,OTLS Unisex Blue Duffle Bag,36042.jpg,images/36042.jpg
23138,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,Quechua Men  Fleece Blue Sweatshirt,23138.jpg,images/23138.jpg
27813,Men,Accessories,Belts,Belts,Brown,Summer,2013.0,Formal,Bulchee Men Brown & Black Reversible Belt,27813.jpg,images/27813.jpg
31894,Women,Accessories,Stoles,Stoles,Black,Summer,2012.0,Ethnic,Fabindia Women Black Noil Silk & Wool Stole,31894.jpg,images/31894.jpg
36139,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Nike Men The Overplay VII Black Sports Shoes,36139.jpg,images/36139.jpg
35027,Women,Accessories,Stoles,Stoles,Yellow,Summer,2012.0,Casual,Fabindia Women Yellow Stole,35027.jpg,images/35027.jpg
23608,Women,Personal Care,Fragrance,Fragrance Gift Set,White,Spring,2017.0,Casual,Nike Fragrances Women Blue Fantasy Perfume and Deo,23608.jpg,images/23608.jpg
48704,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012.0,Casual,Lucera Women Silver Earrings,48704.jpg,images/48704.jpg
25172,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Lino Perros Women Leatherite Brown Handbag,25172.jpg,images/25172.jpg
8426,Unisex,Sporting Goods,Sports Equipment,Basketballs,Red,Fall,2011.0,Sports,Spalding Unisex NBA Team Raptors SZ7 Red Basketball,8426.jpg,images/8426.jpg
42971,Women,Apparel,Bottomwear,Swimwear,Pink,Summer,2017.0,Casual,Amante Pink & Blue Swimwear,42971.jpg,images/42971.jpg
