condition,model,reranked,query_type,variation_type,query_id,query_path,category,relevant_count,relevant_catalog_item_ids,retrieved_catalog_item_ids,hits_top5,P@1,P@5,P@10,R@1,R@5,R@10,Hit@1,Hit@5,Hit@10,MRR,embedding_latency_ms,search_latency_ms,rerank_latency_ms,total_latency_ms
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q011_brighter_lighting,evaluation/queries/messy/messy_test_q011_brighter_lighting.jpg,Apparel,1,[2151],"[19344, 20444, 27707, 21292, 31684, 11716, 15117, 7091, 11569, 4552]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.83,16.8,0.041,135.67
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q012_contrast_change,evaluation/queries/messy/messy_test_q012_contrast_change.jpg,Footwear,1,[2163],"[2163, 37159, 29800, 35745, 42649, 40648, 9256, 31011, 34845, 22911]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,114.54,17.97,0.045,132.56
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q013_small_rotation,evaluation/queries/messy/messy_test_q013_small_rotation.jpg,Accessories,1,[2179],"[2179, 3309, 28207, 1490, 9477, 42581, 9475, 31844, 3340, 41424]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118.11,16.85,0.048,135.01
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q014_mild_perspective,evaluation/queries/messy/messy_test_q014_mild_perspective.jpg,Accessories,1,[2183],"[7244, 10755, 41784, 38640, 634, 9223, 24094, 16861, 8816, 31711]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.76,17.4,0.042,143.2
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q015_blur,evaluation/queries/messy/messy_test_q015_blur.jpg,Apparel,1,[2753],"[43136, 1922, 1921, 41489, 31357, 7352, 1797, 35734, 34611, 28041]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.13,17.6,0.045,169.78
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q016_background_padding,evaluation/queries/messy/messy_test_q016_background_padding.jpg,Accessories,4,"[2890, 2891, 2892, 2893]","[27683, 37239, 2042, 5901, 38708, 9371, 13184, 37517, 21857, 17499]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.03,17.39,0.046,131.47
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q017_crop,evaluation/queries/messy/messy_test_q017_crop.jpg,Apparel,2,"[2992, 2993]","[2993, 7512, 7511, 31863, 28905, 28904, 27510, 27285, 1738, 1737]",1,1.0,0.2,0.1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,113.22,17.64,0.045,130.9
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q018_darker_lighting,evaluation/queries/messy/messy_test_q018_darker_lighting.jpg,Accessories,4,"[3124, 3125, 3126, 3127]","[17469, 31537, 2933, 43486, 37774, 5473, 43483, 34830, 27055, 23950]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.67,17.05,0.044,155.77
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q019_brighter_lighting,evaluation/queries/messy/messy_test_q019_brighter_lighting.jpg,Apparel,6,"[3202, 3203, 3204, 3205, 3206, 3207]","[19394, 15493, 32644, 21027, 14756, 21411, 38507, 35734, 2375, 11361]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.27,17.12,0.042,162.43
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q020_contrast_change,evaluation/queries/messy/messy_test_q020_contrast_change.jpg,Accessories,4,"[3376, 3373, 3374, 3375]","[39706, 3374, 24027, 14010, 14012, 18607, 20570, 14013, 3373, 6388]",1,0.0,0.2,0.2,0.0,0.25,0.5,0.0,1.0,1.0,0.5,113.51,17.42,0.045,130.98
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q021_small_rotation,evaluation/queries/messy/messy_test_q021_small_rotation.jpg,Accessories,3,"[3729, 3730, 3731]","[3781, 3640, 3635, 26496, 39113, 20254, 30001, 15546, 2644, 19177]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.81,17.83,0.045,135.69
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q022_mild_perspective,evaluation/queries/messy/messy_test_q022_mild_perspective.jpg,Accessories,1,[4613],"[10064, 39367, 31594, 37371, 37676, 14403, 34291, 23618, 17137, 19169]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.69,17.58,0.044,147.31
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q023_blur,evaluation/queries/messy/messy_test_q023_blur.jpg,Accessories,2,"[4981, 4982]","[32764, 19855, 40333, 34340, 24036, 4256, 32378, 12353, 6507, 15380]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.22,17.55,0.043,134.81
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q024_background_padding,evaluation/queries/messy/messy_test_q024_background_padding.jpg,Apparel,1,[5033],"[12083, 5033, 39594, 35442, 40294, 30470, 19387, 18835, 33448, 26863]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.5,137.96,17.41,0.045,155.41
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q025_crop,evaluation/queries/messy/messy_test_q025_crop.jpg,Apparel,5,"[5280, 5281, 5277, 5278, 5279]","[17453, 22948, 6148, 23715, 15849, 15803, 16905, 28474, 3920, 7117]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.91,18.15,0.042,133.11
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q026_darker_lighting,evaluation/queries/messy/messy_test_q026_darker_lighting.jpg,Apparel,1,[5554],"[41598, 34564, 34282, 43956, 36844, 41754, 24307, 9378, 43777, 23885]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.36,17.46,0.042,130.86
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q027_brighter_lighting,evaluation/queries/messy/messy_test_q027_brighter_lighting.jpg,Apparel,1,[5683],"[9575, 4385, 4384, 5683, 21582, 21581, 21580, 14073, 14072, 21583]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.25,115.06,17.69,0.041,132.79
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q028_contrast_change,evaluation/queries/messy/messy_test_q028_contrast_change.jpg,Apparel,1,[5947],"[42203, 18682, 20426, 7804, 2847, 11145, 7807, 1853, 6346, 24342]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.05,17.4,0.046,132.5
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q029_small_rotation,evaluation/queries/messy/messy_test_q029_small_rotation.jpg,Apparel,5,"[6216, 6217, 6218, 6219, 6220]","[17715, 12730, 27949, 18364, 3852, 36113, 30285, 18633, 37823, 18901]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.06,17.31,0.048,136.42
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q030_mild_perspective,evaluation/queries/messy/messy_test_q030_mild_perspective.jpg,Apparel,13,"[6308, 6309, 6310, 6311, 6312, 6313, 6314, 6315, 6316, 6317, 6318, 6319, 6320]","[41390, 5702, 11341, 7931, 31166, 35013, 9468, 6318, 41647, 34760]",0,0.0,0.0,0.1,0.0,0.0,0.0769,0.0,0.0,1.0,0.125,111.28,17.51,0.043,128.83
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q031_blur,evaluation/queries/messy/messy_test_q031_blur.jpg,Accessories,4,"[6404, 6405, 6406, 6407]","[7831, 23899, 7276, 39090, 18257, 40333, 32848, 28007, 41726, 13432]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,17.65,0.046,135.19
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q032_background_padding,evaluation/queries/messy/messy_test_q032_background_padding.jpg,Apparel,6,"[6578, 6579, 6580, 6581, 6582, 6583]","[40769, 4702, 10202, 10201, 11831, 18970, 7795, 9481, 12174, 37766]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.72,18.86,0.054,142.64
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q033_crop,evaluation/queries/messy/messy_test_q033_crop.jpg,Apparel,2,"[6672, 6673]","[7217, 32437, 29987, 6693, 25106, 7772, 6775, 23715, 38865, 42892]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.64,17.87,0.041,138.56
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q034_darker_lighting,evaluation/queries/messy/messy_test_q034_darker_lighting.jpg,Apparel,1,[6740],"[25637, 35295, 25973, 19019, 29246, 43302, 19018, 25996, 37069, 40736]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.11,24.42,0.043,158.57
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q035_brighter_lighting,evaluation/queries/messy/messy_test_q035_brighter_lighting.jpg,Apparel,1,[6747],"[27120, 29224, 3829, 22366, 17977, 28725, 30827, 26191, 27699, 15056]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.54,24.19,0.043,178.78
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q036_contrast_change,evaluation/queries/messy/messy_test_q036_contrast_change.jpg,Apparel,1,[7054],"[29033, 34211, 34192, 2245, 5764, 22005, 17673, 1001, 33315, 25773]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.4,18.13,0.046,171.58
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q037_small_rotation,evaluation/queries/messy/messy_test_q037_small_rotation.jpg,Footwear,2,"[7320, 7319]","[17194, 11777, 20430, 11789, 11787, 28144, 7320, 11788, 2127, 11525]",0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,1.0,0.1429,120.05,17.54,0.044,137.64
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q038_mild_perspective,evaluation/queries/messy/messy_test_q038_mild_perspective.jpg,Apparel,2,"[7416, 7415]","[9340, 34980, 30457, 34236, 29803, 36322, 15682, 12071, 1195, 7772]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,17.71,0.043,128.76
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q039_blur,evaluation/queries/messy/messy_test_q039_blur.jpg,Footwear,1,[7543],"[21014, 3227, 42124, 2651, 11397, 9278, 3110, 3222, 2748, 38771]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.88,18.24,0.041,156.17
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q040_background_padding,evaluation/queries/messy/messy_test_q040_background_padding.jpg,Accessories,4,"[7900, 7901, 7902, 7903]","[4549, 34986, 26791, 15503, 24094, 11546, 42182, 41122, 20585, 1505]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.44,18.69,0.043,158.17
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q041_crop,evaluation/queries/messy/messy_test_q041_crop.jpg,Apparel,2,"[7953, 7954]","[7296, 30356, 13586, 29876, 16245, 36753, 9798, 2684, 41415, 14312]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.76,23.18,0.04,217.98
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q042_darker_lighting,evaluation/queries/messy/messy_test_q042_darker_lighting.jpg,Footwear,1,[8268],"[38302, 6878, 44035, 5950, 10378, 31620, 163, 10290, 19683, 39642]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.95,17.66,0.042,160.65
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q043_brighter_lighting,evaluation/queries/messy/messy_test_q043_brighter_lighting.jpg,Accessories,2,"[8395, 8396]","[19761, 24498, 7280, 7276, 5212, 11368, 14924, 30150, 5209, 19764]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.75,17.86,0.046,144.65
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q044_contrast_change,evaluation/queries/messy/messy_test_q044_contrast_change.jpg,Accessories,1,[8464],"[8464, 25501, 25508, 25509, 25505, 23109, 25507, 25502, 29350, 25785]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.03,17.81,0.045,142.88
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q045_small_rotation,evaluation/queries/messy/messy_test_q045_small_rotation.jpg,Apparel,1,[8478],"[11563, 7089, 37272, 33527, 10778, 32467, 16652, 10280, 9552, 26664]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.88,18.22,0.044,145.14
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q046_mild_perspective,evaluation/queries/messy/messy_test_q046_mild_perspective.jpg,Apparel,2,"[8928, 8927]","[42028, 26655, 20426, 4387, 17436, 21124, 16021, 8146, 26606, 6035]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.86,18.99,0.044,180.89
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q047_blur,evaluation/queries/messy/messy_test_q047_blur.jpg,Footwear,1,[9286],"[3430, 17018, 41886, 19287, 35679, 23145, 36513, 22086, 18802, 30857]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.29,17.34,0.045,173.68
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q048_background_padding,evaluation/queries/messy/messy_test_q048_background_padding.jpg,Apparel,2,"[9334, 9335]","[13052, 19216, 13038, 17238, 27506, 27508, 9335, 1007, 11109, 4436]",0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,1.0,0.1429,119.1,17.51,0.043,136.65
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q049_crop,evaluation/queries/messy/messy_test_q049_crop.jpg,Apparel,6,"[9428, 9429, 9430, 9431, 9432, 9433]","[36679, 26958, 36058, 9430, 19005, 26954, 38386, 21756, 9429, 36964]",1,0.0,0.2,0.2,0.0,0.1667,0.3333,0.0,1.0,1.0,0.25,116.29,17.51,0.041,133.84
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q050_darker_lighting,evaluation/queries/messy/messy_test_q050_darker_lighting.jpg,Accessories,1,[9614],"[9614, 6262, 16087, 38567, 16089, 43065, 4343, 16088, 16085, 36064]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.5,17.39,0.044,129.93
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q051_brighter_lighting,evaluation/queries/messy/messy_test_q051_brighter_lighting.jpg,Accessories,7,"[9847, 9848, 9849, 9850, 9851, 9852, 9853]","[25538, 33401, 38460, 21824, 38174, 1809, 38956, 15958, 29020, 19175]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.81,17.64,0.045,133.49
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q052_contrast_change,evaluation/queries/messy/messy_test_q052_contrast_change.jpg,Footwear,7,"[10336, 10337, 10331, 10332, 10333, 10334, 10335]","[24783, 29914, 14911, 13956, 40333, 5435, 6447, 22655, 3804, 27142]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.74,17.83,0.043,132.61
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q053_small_rotation,evaluation/queries/messy/messy_test_q053_small_rotation.jpg,Apparel,4,"[10392, 10393, 10394, 10395]","[34123, 10395, 10393, 10394, 3404, 25772, 25771, 37396, 11831, 22628]",3,0.0,0.6,0.3,0.0,0.75,0.75,0.0,1.0,1.0,0.5,114.24,17.77,0.043,132.05
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q054_mild_perspective,evaluation/queries/messy/messy_test_q054_mild_perspective.jpg,Footwear,1,[10749],"[34448, 29648, 15635, 15981, 43797, 34168, 43104, 15637, 36433, 7373]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.57,17.42,0.043,135.03
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q055_blur,evaluation/queries/messy/messy_test_q055_blur.jpg,Apparel,1,[10778],"[37975, 30542, 17894, 35734, 34611, 28041, 26181, 37648, 20486, 9662]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.48,17.79,0.038,131.31
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q056_background_padding,evaluation/queries/messy/messy_test_q056_background_padding.jpg,Apparel,1,[10836],"[26853, 21591, 1720, 34538, 40583, 17545, 26856, 28348, 38668, 20121]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.78,17.61,0.044,136.43
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q057_crop,evaluation/queries/messy/messy_test_q057_crop.jpg,Apparel,4,"[11129, 11130, 11131, 11132]","[39683, 14238, 40206, 18685, 41474, 18686, 40294, 18835, 12083, 17907]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.14,17.63,0.042,130.81
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q058_darker_lighting,evaluation/queries/messy/messy_test_q058_darker_lighting.jpg,Accessories,3,"[11180, 11181, 11182]","[11843, 24283, 7176, 12502, 7183, 11850, 38455, 1120, 26257, 11182]",0,0.0,0.0,0.1,0.0,0.0,0.3333,0.0,0.0,1.0,0.1,116.35,17.26,0.045,133.66
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q059_brighter_lighting,evaluation/queries/messy/messy_test_q059_brighter_lighting.jpg,Apparel,1,[11262],"[12543, 12542, 4269, 30168, 34534, 14890, 29365, 24395, 14891, 11342]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.75,17.81,0.044,128.61
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q060_contrast_change,evaluation/queries/messy/messy_test_q060_contrast_change.jpg,Footwear,1,[11286],"[39642, 36626, 35834, 22505, 28196, 36898, 28885, 5959, 13784, 36514]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.57,17.16,0.042,128.77
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q061_small_rotation,evaluation/queries/messy/messy_test_q061_small_rotation.jpg,Apparel,1,[11402],"[555, 23499, 11402, 552, 8771, 13142, 41096, 37766, 8769, 22626]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.3333,114.14,17.35,0.043,131.54
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q062_mild_perspective,evaluation/queries/messy/messy_test_q062_mild_perspective.jpg,Footwear,1,[11427],"[37631, 42165, 9398, 2212, 2207, 5576, 43532, 38443, 41410, 20753]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.88,17.8,0.04,126.72
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q063_blur,evaluation/queries/messy/messy_test_q063_blur.jpg,Apparel,1,[11563],"[34611, 28041, 27903, 25487, 24076, 2447, 41006, 3115, 31357, 7352]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.19,17.64,0.042,149.87
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q064_background_padding,evaluation/queries/messy/messy_test_q064_background_padding.jpg,Footwear,1,[11720],"[39133, 25619, 29417, 16076, 8622, 39019, 12921, 25390, 20033, 17517]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.38,17.52,0.044,139.94
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q065_crop,evaluation/queries/messy/messy_test_q065_crop.jpg,Accessories,4,"[11890, 11891, 11892, 11893]","[6488, 9028, 23973, 25442, 27079, 38708, 9029, 12226, 3454, 11029]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.3,17.36,0.041,129.7
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q066_darker_lighting,evaluation/queries/messy/messy_test_q066_darker_lighting.jpg,Apparel,1,[12094],"[19394, 30803, 1841, 7191, 10678, 34125, 4550, 21257, 12680, 17556]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.44,17.37,0.059,124.87
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q067_brighter_lighting,evaluation/queries/messy/messy_test_q067_brighter_lighting.jpg,Apparel,1,[12152],"[9468, 41647, 35013, 18762, 5702, 41390, 36143, 11317, 19607, 34760]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.64,17.42,0.044,130.11
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q068_contrast_change,evaluation/queries/messy/messy_test_q068_contrast_change.jpg,Apparel,2,"[12508, 12509]","[43286, 43002, 26947, 24574, 41836, 41835, 11307, 555, 29904, 13142]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.01,17.48,0.044,145.54
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q069_small_rotation,evaluation/queries/messy/messy_test_q069_small_rotation.jpg,Apparel,11,"[12544, 12545, 12535, 12536, 12537, 12538, 12539, 12540, 12541, 12542, 12543]","[12538, 28596, 28190, 28189, 11308, 10689, 14280, 39086, 4729, 41559]",1,1.0,0.2,0.1,0.0909,0.0909,0.0909,1.0,1.0,1.0,1.0,113.59,17.12,0.041,130.75
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q070_mild_perspective,evaluation/queries/messy/messy_test_q070_mild_perspective.jpg,Footwear,7,"[12757, 12758, 12759, 12760, 12761, 12762, 12763]","[13858, 13854, 12763, 13850, 35601, 13857, 13856, 2137, 2129, 13853]",1,0.0,0.2,0.1,0.0,0.1429,0.1429,0.0,1.0,1.0,0.3333,107.22,17.26,0.049,124.53
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q071_blur,evaluation/queries/messy/messy_test_q071_blur.jpg,Apparel,1,[12780],"[2443, 28001, 18194, 28727, 12424, 28726, 10459, 32892, 35515, 22130]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.93,18.31,0.036,131.28
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q072_background_padding,evaluation/queries/messy/messy_test_q072_background_padding.jpg,Apparel,3,"[12848, 12846, 12847]","[18424, 6233, 4069, 14787, 6990, 5752, 4336, 8866, 5751, 10146]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.81,17.16,0.039,128.01
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q073_crop,evaluation/queries/messy/messy_test_q073_crop.jpg,Accessories,5,"[13195, 13196, 13197, 13198, 13199]","[16181, 16193, 13195, 14755, 11981, 14252, 16187, 14251, 11985, 16188]",1,0.0,0.2,0.1,0.0,0.2,0.2,0.0,1.0,1.0,0.3333,110.31,16.83,0.041,127.18
